Campaign_ID,Campaign_Name,Brand,Product_Category,Influencer_ID,Influencer,Influencer_Type,Platform,Audience_Group,Campaign_Date,Followers,Reach,Impressions,Likes,Comments,Shares,Clicks,Conversions,Spend,Revenue,Total_Engagement,Engagement_Rate,ROI,Conversion_Rate,Cost_Per_Engagement
CMP00019,Campaign_19,Boat,Fashion,INF058,Influencer_87,Mega,X,Professionals,2025-04-26,3518127,2703609,4054653,41041,7550,1061,30523,2343,102131,352903,49652,1.84,245.54,7.68,2.06
CMP00020,Campaign_20,Boat,Fashion,INF098,Influencer_10,Mega,YouTube,Gen Z,2024-08-26,4352882,2824980,3268480,257370,10522,18498,481215,30221,242222,455832,286390,10.14,88.19,6.28,0.85
CMP00021,Campaign_21,Sony,Fitness,INF216,Influencer_148,Mega,Instagram,Adults,2025-10-01,2566298,2107240,3809433,164336,11001,514,74116,11010,304517,830471,175851,8.35,172.72,14.86,1.73
CMP00022,Campaign_22,Puma,Electronics,INF130,Influencer_208,Mega,Facebook,Adults,2024-03-11,4427565,980027,1057616,28234,4321,1285,97475,14545,52830,47629,33840,3.45,-9.84,14.92,1.56
CMP00023,Campaign_23,Adidas,Gaming,INF232,Influencer_52,Mega,YouTube,Adults,2025-11-04,2070230,484566,712645,35450,2667,3510,50366,10542,112680,123224,41627,8.59,9.36,20.93,2.71
CMP00024,Campaign_24,Sony,Gaming,INF146,Influencer_149,Mega,YouTube,Millennials,2024-02-09,4753437,1379099,2430781,108801,5481,4618,234079,7156,247718,811727,118900,8.62,227.68,3.06,2.08
CMP00025,Campaign_25,Adidas,Food,INF050,Influencer_39,Macro,X,Professionals,2025-12-21,871040,698665,704875,53377,3023,1922,8721,668,111593,247217,58322,8.35,121.53,7.66,1.91
CMP00026,Campaign_26,Apple,Gaming,INF126,Influencer_268,Mega,TikTok,Professionals,2025-10-09,3148945,2775164,5516623,247551,12207,7439,401835,27902,298044,885105,267197,9.63,196.97,6.94,1.12
CMP00027,Campaign_27,Apple,Electronics,INF077,Influencer_54,Mega,X,Professionals,2025-09-12,2681735,1811317,3368633,39310,4147,2306,36155,4642,163214,346393,45763,2.53,112.23,12.84,3.57
CMP00028,Campaign_28,Puma,Fitness,INF009,Influencer_133,Mega,YouTube,Millennials,2025-01-09,4925587,1412528,2022640,141789,13729,11586,259335,65615,172538,379175,167104,11.83,119.76,25.3,1.03
CMP00029,Campaign_29,Sony,Electronics,INF248,Influencer_256,Mega,Facebook,Millennials,2025-08-30,1379230,1323397,1744071,46978,8677,828,183990,18830,349808,542757,56483,4.27,55.16,10.23,6.19
CMP00030,Campaign_30,Apple,Food,INF204,Influencer_275,Mega,TikTok,Professionals,2024-03-29,2887157,1898410,2887833,122449,4566,10537,62854,10276,172291,437605,137552,7.25,153.99,16.35,1.25
CMP00031,Campaign_31,Boat,Food,INF166,Influencer_195,Macro,Instagram,Adults,2025-11-11,379394,174401,176606,5903,669,16,17930,4009,311458,980306,6588,3.78,214.75,22.36,47.28
CMP00032,Campaign_32,Adidas,Electronics,INF004,Influencer_274,Mega,Instagram,Gen Z,2025-01-21,1564123,979350,1947414,59543,8328,3017,105596,24202,311180,338552,70888,7.24,8.8,22.92,4.39
CMP00033,Campaign_33,Apple,Fitness,INF035,Influencer_69,Mega,X,Adults,2024-01-23,1859368,1011210,1110152,98674,8079,4243,43040,552,257859,268301,110996,10.98,4.05,1.28,2.32
CMP00034,Campaign_34,Boat,Fitness,INF242,Influencer_227,Mega,Facebook,Professionals,2025-12-07,2515552,1078057,1644735,118901,16785,6737,20591,2003,370738,353776,142423,13.21,-4.58,9.73,2.6
CMP00035,Campaign_35,Samsung,Travel,INF249,Influencer_117,Macro,X,Adults,2024-03-19,466438,378795,738547,7399,802,463,6681,1680,177147,502228,8664,2.29,183.51,25.15,20.45
CMP00036,Campaign_36,Puma,Gaming,INF247,Influencer_224,Mega,X,Professionals,2024-08-22,1800707,533888,684628,43420,1276,3501,37531,6302,9188,28463,48197,9.03,209.78,16.79,0.19
CMP00037,Campaign_37,Samsung,Electronics,INF085,Influencer_284,Mega,TikTok,Professionals,2025-10-05,1241321,1134521,2096018,114448,6566,3398,93100,8204,459441,937536,124412,10.97,104.06,8.81,3.69
CMP00038,Campaign_38,Sony,Food,INF140,Influencer_272,Macro,Instagram,Millennials,2024-04-04,993708,276615,474461,10999,443,767,14831,2712,384477,761078,12209,4.41,97.95,18.29,31.49
CMP00039,Campaign_39,Nike,Beauty,INF119,Influencer_254,Macro,Facebook,Professionals,2024-11-05,576820,348521,435174,10573,485,165,24951,4242,68275,161733,11223,3.22,136.88,17.0,6.08
CMP00040,Campaign_40,Nike,Travel,INF190,Influencer_35,Macro,TikTok,Millennials,2024-08-20,896247,563585,953290,40309,3668,3984,64091,3448,359933,965691,47961,8.51,168.3,5.38,7.5
CMP00041,Campaign_41,Mamaearth,Fitness,INF188,Influencer_34,Mega,YouTube,Professionals,2024-08-07,2591560,1820421,2858913,211187,1012,17898,199406,2452,28198,73271,230097,12.64,159.84,1.23,0.12
CMP00042,Campaign_42,Nike,Travel,INF224,Influencer_289,Mega,TikTok,Professionals,2025-12-06,1207230,831171,1054981,43847,6088,3444,63448,3228,323252,435487,53379,6.42,34.72,5.09,6.06
CMP00043,Campaign_43,Puma,Food,INF124,Influencer_21,Mega,TikTok,Gen Z,2025-10-31,4408966,914836,1383045,28429,5651,2722,93068,9339,119452,204113,36802,4.02,70.87,10.03,3.25
CMP00044,Campaign_44,Apple,Fitness,INF130,Influencer_220,Mega,Facebook,Gen Z,2024-10-15,3904010,1058762,1863191,28146,2478,451,127147,17764,99507,227167,31075,2.94,128.29,13.97,3.2
CMP00045,Campaign_45,Samsung,Food,INF226,Influencer_274,Macro,TikTok,Millennials,2024-07-18,640482,535846,553847,9324,417,363,92765,4489,153988,437734,10104,1.89,184.27,4.84,15.24
CMP00046,Campaign_46,Puma,Fashion,INF251,Influencer_12,Mega,TikTok,Adults,2024-07-28,1293478,589003,648107,53052,7184,3354,92122,18663,183337,240656,63590,10.8,31.26,20.26,2.88
CMP00047,Campaign_47,Apple,Electronics,INF193,Influencer_123,Mega,Facebook,Millennials,2025-05-12,2984635,2453133,4170895,111009,18173,5545,185709,27418,180814,582273,134727,5.49,222.03,14.76,1.34
CMP00048,Campaign_48,Puma,Gaming,INF003,Influencer_279,Mega,YouTube,Professionals,2024-03-03,2559018,2316616,3350552,127716,22193,1322,4206,734,140665,266371,151231,6.53,89.37,17.45,0.93
CMP00049,Campaign_49,Zara,Fashion,INF178,Influencer_258,Macro,Instagram,Gen Z,2024-03-07,247961,56888,65849,5070,597,374,10959,404,211031,496815,6041,10.62,135.42,3.69,34.93
CMP00050,Campaign_50,Puma,Beauty,INF244,Influencer_96,Nano,Facebook,Adults,2025-09-17,3329,2227,3165,255,29,22,197,22,183254,485134,306,13.74,164.73,11.17,598.87
CMP00051,Campaign_51,Mamaearth,Fashion,INF115,Influencer_134,Mega,Instagram,Adults,2024-06-06,4720456,944459,1136874,57006,6585,5510,39244,8727,193667,299583,69101,7.32,54.69,22.24,2.8
CMP00052,Campaign_52,Mamaearth,Food,INF266,Influencer_153,Mega,Instagram,Professionals,2025-02-16,4947076,2515103,3374312,145541,6903,14135,198685,10214,285571,476152,166579,6.62,66.74,5.14,1.71
CMP00053,Campaign_53,Mamaearth,Fashion,INF094,Influencer_243,Mega,YouTube,Millennials,2024-08-14,1309311,464018,780897,31683,2862,3011,14679,3560,395712,923745,37556,8.09,133.44,24.25,10.54
CMP00054,Campaign_54,Adidas,Fashion,INF229,Influencer_32,Mega,Instagram,Adults,2025-08-13,4111723,931974,961998,70597,6132,2859,118501,4283,154038,523701,79588,8.54,239.98,3.61,1.94
CMP00055,Campaign_55,Sony,Fitness,INF153,Influencer_124,Mega,Instagram,Adults,2025-05-04,2554385,1377149,2477339,113619,13903,10964,22746,872,141024,150567,138486,10.06,6.77,3.83,1.02
CMP00056,Campaign_56,Nykaa,Fitness,INF090,Influencer_138,Mega,TikTok,Millennials,2025-01-22,3775090,2187513,3874499,217087,17698,19583,56997,5606,443264,1067912,254368,11.63,140.92,9.84,1.74
CMP00057,Campaign_57,Adidas,Travel,INF055,Influencer_196,Mega,Facebook,Professionals,2024-09-12,4262219,1925755,2191471,63930,11784,4988,297568,825,16286,45603,80702,4.19,180.01,0.28,0.2
CMP00058,Campaign_58,Apple,Fitness,INF281,Influencer_119,Mega,YouTube,Adults,2024-05-23,1467103,854451,1382268,72808,14484,7024,114087,24590,241262,634498,94316,11.04,162.99,21.55,2.56
CMP00059,Campaign_59,Nike,Food,INF008,Influencer_16,Macro,YouTube,Millennials,2025-11-08,818717,260805,417148,24806,2635,1429,43023,7262,404133,1311154,28870,11.07,224.44,16.88,14.0
CMP00060,Campaign_60,Nike,Food,INF018,Influencer_281,Mega,X,Adults,2025-12-26,1696540,1521737,2383815,109918,2565,1190,111821,29323,43644,66171,113673,7.47,51.62,26.22,0.38
CMP00061,Campaign_61,Nike,Fitness,INF250,Influencer_274,Mega,Instagram,Adults,2024-03-19,3394492,1307819,2098561,88086,15358,7007,121817,6444,496522,906418,110451,8.45,82.55,5.29,4.5
CMP00062,Campaign_62,Mamaearth,Food,INF183,Influencer_246,Macro,Instagram,Gen Z,2025-04-24,330672,211983,276319,13315,559,198,12427,891,199847,644960,14072,6.64,222.73,7.17,14.2
CMP00063,Campaign_63,Boat,Beauty,INF146,Influencer_282,Mega,TikTok,Professionals,2025-01-11,1679743,339139,491607,30197,3514,1128,11583,3394,406426,684156,34839,10.27,68.33,29.3,11.67
CMP00064,Campaign_64,Mamaearth,Gaming,INF260,Influencer_197,Macro,X,Adults,2024-05-18,302084,90932,151779,4644,310,56,4141,1234,312096,402689,5010,5.51,29.03,29.8,62.29
CMP00065,Campaign_65,Nykaa,Gaming,INF002,Influencer_288,Mega,Facebook,Millennials,2024-07-04,4648975,2920623,3800971,116119,6577,5321,374040,90910,315767,457405,128017,4.38,44.86,24.3,2.47
CMP00066,Campaign_66,Mamaearth,Electronics,INF185,Influencer_32,Macro,X,Gen Z,2024-03-01,395790,296677,402129,22828,1738,742,53395,9693,379838,927890,25308,8.53,144.29,18.15,15.01
CMP00067,Campaign_67,Puma,Fitness,INF053,Influencer_22,Mega,Instagram,Professionals,2025-03-01,4843520,2378486,2449859,166673,24936,14843,342671,65224,491505,1107881,206452,8.68,125.41,19.03,2.38
CMP00068,Campaign_68,Zara,Beauty,INF270,Influencer_146,Mega,Instagram,Millennials,2024-12-20,3841362,2048957,2472399,235004,19438,3698,170420,2568,261857,291950,258140,12.6,11.49,1.51,1.01
CMP00069,Campaign_69,Puma,Fitness,INF295,Influencer_41,Mega,Facebook,Gen Z,2024-06-18,4248951,1841125,3502672,124185,16491,9221,34328,992,315781,579478,149897,8.14,83.51,2.89,2.11
CMP00070,Campaign_70,Puma,Gaming,INF010,Influencer_120,Mega,YouTube,Gen Z,2025-02-17,3806779,766926,1041234,59839,7567,3073,135503,4171,175111,352396,70479,9.19,101.24,3.08,2.48
CMP00071,Campaign_71,Boat,Beauty,INF278,Influencer_153,Mega,YouTube,Gen Z,2025-10-07,2597789,2005227,3149420,45699,257,1451,38499,9583,479623,1544613,47407,2.36,222.05,24.89,10.12
CMP00072,Campaign_72,Apple,Gaming,INF175,Influencer_164,Mega,TikTok,Millennials,2024-09-14,3322519,2979359,5678729,187372,4682,14818,479955,71381,346076,405991,206872,6.94,17.31,14.87,1.67
CMP00073,Campaign_73,Sony,Beauty,INF085,Influencer_194,Mega,TikTok,Adults,2024-07-14,4579487,1857658,2920932,134655,14785,7281,270053,14909,220744,442553,156721,8.44,100.48,5.52,1.41
CMP00074,Campaign_74,Boat,Gaming,INF104,Influencer_166,Mega,TikTok,Professionals,2025-05-08,3458990,2361145,2537638,185620,29755,14083,333981,56425,208728,220669,229458,9.72,5.72,16.89,0.91
CMP00075,Campaign_75,Zara,Fitness,INF254,Influencer_254,Mega,YouTube,Millennials,2025-01-06,1996183,554401,1102983,39203,5051,1136,18252,3070,107101,132113,45390,8.19,23.35,16.82,2.36
CMP00076,Campaign_76,Nike,Beauty,INF114,Influencer_245,Mega,Facebook,Millennials,2024-11-28,2751570,2544117,3249733,52099,9806,3874,289729,25814,238614,676938,65779,2.59,183.7,8.91,3.63
CMP00077,Campaign_77,Adidas,Food,INF160,Influencer_239,Mega,Facebook,Gen Z,2025-10-24,4111181,2996521,4390351,140908,27548,12198,70535,15614,104846,198374,180654,6.03,89.21,22.14,0.58
CMP00078,Campaign_78,Samsung,Electronics,INF027,Influencer_77,Mega,X,Adults,2024-08-06,1097210,884869,961373,93155,9065,3132,152401,44794,80470,212225,105352,11.91,163.73,29.39,0.76
CMP00079,Campaign_79,Mamaearth,Food,INF108,Influencer_278,Mega,Facebook,Professionals,2025-06-14,2507887,1266876,1582418,44023,5716,1933,123939,14835,162388,132136,51672,4.08,-18.63,11.97,3.14
CMP00080,Campaign_80,Samsung,Electronics,INF231,Influencer_93,Mega,Instagram,Adults,2024-03-07,2166159,1000473,1858086,119288,5349,7575,100908,11785,166533,550162,132212,13.21,230.36,11.68,1.26
CMP00081,Campaign_81,Adidas,Electronics,INF244,Influencer_253,Macro,Instagram,Gen Z,2024-11-04,895000,702435,936233,15206,472,1353,92229,4818,274281,494309,17031,2.42,80.22,5.22,16.1
CMP00082,Campaign_82,Apple,Fitness,INF165,Influencer_61,Mega,YouTube,Adults,2025-03-22,2405744,1806677,3581744,149142,12376,3065,215678,29906,235822,722811,164583,9.11,206.51,13.87,1.43
CMP00083,Campaign_83,Mamaearth,Gaming,INF101,Influencer_166,Mega,Instagram,Millennials,2025-08-17,2465920,988373,1372781,32109,5137,486,163566,23114,430482,1499654,37732,3.82,248.37,14.13,11.41
CMP00084,Campaign_84,Puma,Gaming,INF133,Influencer_139,Macro,Facebook,Adults,2024-09-26,271903,104639,176715,4506,703,289,14080,2498,414555,1015768,5498,5.25,145.03,17.74,75.4
CMP00085,Campaign_85,Sony,Gaming,INF252,Influencer_30,Macro,Instagram,Gen Z,2024-11-04,332219,203284,339230,21388,3201,726,24932,7360,291013,462680,25315,12.45,58.99,29.52,11.5
CMP00086,Campaign_86,Apple,Food,INF219,Influencer_119,Macro,Instagram,Adults,2025-08-06,848962,476233,607169,5106,707,87,62253,10525,444305,911598,5900,1.24,105.17,16.91,75.31
CMP00087,Campaign_87,Sony,Fitness,INF272,Influencer_135,Mega,TikTok,Millennials,2025-05-19,3491754,1433729,1615243,115836,21908,11268,192463,42956,343050,938673,149012,10.39,173.63,22.32,2.3
CMP00088,Campaign_88,Nike,Gaming,INF147,Influencer_265,Mega,X,Professionals,2025-03-10,3137747,2893882,4261416,67071,6744,2619,358281,78152,285156,958738,76434,2.64,236.22,21.81,3.73
CMP00089,Campaign_89,Apple,Beauty,INF166,Influencer_239,Mega,Instagram,Gen Z,2024-11-13,3130994,1294165,1711435,123703,13055,2060,139857,13081,209046,209687,138818,10.73,0.31,9.35,1.51
CMP00090,Campaign_90,Zara,Travel,INF196,Influencer_92,Mega,YouTube,Professionals,2025-11-29,1968864,894910,1151860,87752,16464,3119,4739,1106,491718,618021,107335,11.99,25.69,23.34,4.58
CMP00091,Campaign_91,Puma,Gaming,INF253,Influencer_15,Macro,TikTok,Gen Z,2025-11-17,304595,297818,373610,20690,2991,943,53774,11474,419807,1279070,24624,8.27,204.68,21.34,17.05
CMP00092,Campaign_92,Mamaearth,Gaming,INF012,Influencer_117,Mega,YouTube,Adults,2025-08-18,3069495,2008844,2349909,47712,7809,2065,382475,112580,292668,268331,57586,2.87,-8.32,29.43,5.08
CMP00093,Campaign_93,Nike,Fashion,INF005,Influencer_199,Macro,X,Professionals,2024-06-02,185530,129807,138716,11961,368,10,17480,3582,488311,1124491,12339,9.51,130.28,20.49,39.57
CMP00094,Campaign_94,Puma,Travel,INF005,Influencer_159,Mega,Instagram,Gen Z,2024-07-24,2695280,587206,883175,34768,6910,1227,59385,3158,453693,1466109,42905,7.31,223.15,5.32,10.57
CMP00095,Campaign_95,Mamaearth,Food,INF225,Influencer_135,Mega,TikTok,Professionals,2025-08-06,1277431,1094946,1523847,16912,478,554,90405,26348,423353,879957,17944,1.64,107.85,29.14,23.59
CMP00096,Campaign_96,Nykaa,Electronics,INF155,Influencer_138,Mega,TikTok,Professionals,2024-06-26,2755693,2211191,3504928,204301,30735,14140,134645,5094,165541,216141,249176,11.27,30.57,3.78,0.66
CMP00097,Campaign_97,Puma,Gaming,INF165,Influencer_40,Macro,Facebook,Professionals,2025-09-10,325553,321127,481822,26577,4702,485,7428,1762,65725,211294,31764,9.89,221.48,23.72,2.07
CMP00098,Campaign_98,Mamaearth,Beauty,INF135,Influencer_290,Mega,YouTube,Adults,2024-01-07,3417270,1020363,1711025,78706,7252,6608,59971,16517,367170,327308,92566,9.07,-10.86,27.54,3.97
CMP00099,Campaign_99,Apple,Electronics,INF106,Influencer_260,Mega,Instagram,Gen Z,2025-05-31,1286541,1126017,2075698,80722,5571,2116,104246,19512,71557,175872,88409,7.85,145.78,18.72,0.81
CMP00100,Campaign_100,Nykaa,Travel,INF171,Influencer_11,Macro,Instagram,Gen Z,2024-09-08,318932,71505,91232,8249,1526,544,3735,423,184593,210074,10319,14.43,13.8,11.33,17.89
CMP00101,Campaign_101,Nykaa,Travel,INF035,Influencer_161,Mega,YouTube,Professionals,2024-02-20,1002128,992509,1415340,20356,993,1017,83266,7008,294916,751643,22366,2.25,154.87,8.42,13.19
CMP00102,Campaign_102,Nike,Travel,INF034,Influencer_46,Mega,TikTok,Millennials,2025-02-16,1584306,491391,796335,23849,574,1529,52677,1615,450994,1335204,25952,5.28,196.06,3.07,17.38
CMP00103,Campaign_103,Nykaa,Food,INF275,Influencer_155,Mega,Instagram,Professionals,2024-01-21,3372220,1243254,2114080,20278,321,1073,247512,62920,142895,241966,21672,1.74,69.33,25.42,6.59
CMP00104,Campaign_104,Mamaearth,Fitness,INF188,Influencer_121,Mega,Facebook,Adults,2025-02-05,3571532,2625479,2971663,177587,22680,12657,482407,95121,468959,899183,212924,8.11,91.74,19.72,2.2
CMP00105,Campaign_105,Samsung,Travel,INF182,Influencer_142,Macro,X,Adults,2025-12-03,314527,170315,246849,4986,275,46,2111,16,73185,221168,5307,3.12,202.2,0.76,13.79
CMP00106,Campaign_106,Mamaearth,Fashion,INF056,Influencer_41,Micro,TikTok,Millennials,2025-12-25,82314,49955,97239,5552,259,12,834,70,72355,61901,5823,11.66,-14.45,8.39,12.43
CMP00107,Campaign_107,Nike,Beauty,INF073,Influencer_214,Mega,TikTok,Millennials,2025-02-23,2543224,724744,730389,73330,13027,1390,18367,1950,372648,1099985,87747,12.11,195.18,10.62,4.25
CMP00108,Campaign_108,Sony,Electronics,INF262,Influencer_6,Macro,YouTube,Professionals,2024-07-25,477155,215164,293041,8605,1717,370,11189,2887,436700,1148597,10692,4.97,163.02,25.8,40.84
CMP00109,Campaign_109,Nike,Electronics,INF060,Influencer_110,Mega,YouTube,Adults,2025-04-01,4477455,2325420,4481384,230953,31470,9172,277238,41770,362811,373389,271595,11.68,2.92,15.07,1.34
CMP00110,Campaign_110,Zara,Beauty,INF035,Influencer_20,Macro,TikTok,Adults,2024-08-19,562149,391206,602232,8299,893,640,77608,16513,447642,1217103,9832,2.51,171.89,21.28,45.53
CMP00111,Campaign_111,Mamaearth,Beauty,INF038,Influencer_86,Mega,TikTok,Millennials,2024-09-14,3149114,1415124,2125088,100891,17306,4985,241738,69870,373231,697951,123182,8.7,87.0,28.9,3.03
CMP00112,Campaign_112,Adidas,Gaming,INF022,Influencer_230,Macro,TikTok,Adults,2025-07-31,182310,119333,225389,4145,573,255,19353,3108,41236,52131,4973,4.17,26.42,16.06,8.29
CMP00113,Campaign_113,Zara,Electronics,INF244,Influencer_218,Mega,YouTube,Professionals,2025-03-14,1727873,1057350,1428806,24999,2548,2027,137245,10144,89996,236866,29574,2.8,163.2,7.39,3.04
CMP00114,Campaign_114,Boat,Electronics,INF052,Influencer_12,Macro,YouTube,Gen Z,2025-07-13,314487,228648,262409,15889,2465,1356,38256,8301,114352,283715,19710,8.62,148.11,21.7,5.8
CMP00115,Campaign_115,Puma,Electronics,INF221,Influencer_181,Mega,X,Adults,2025-12-05,1065779,495097,844327,21412,2908,435,67078,3789,133759,111749,24755,5.0,-16.45,5.65,5.4
CMP00116,Campaign_116,Nykaa,Electronics,INF075,Influencer_239,Mega,TikTok,Gen Z,2025-04-06,3976730,1487991,2627275,133713,23148,1924,136801,4756,220704,713831,158785,10.67,223.43,3.48,1.39
CMP00117,Campaign_117,Sony,Electronics,INF089,Influencer_234,Mega,X,Professionals,2024-05-06,2494524,986067,1730451,84195,10102,3368,95614,6390,123712,363591,97665,9.9,193.9,6.68,1.27
CMP00118,Campaign_118,Apple,Travel,INF005,Influencer_113,Macro,Instagram,Professionals,2025-11-22,295079,251067,283745,11367,1275,47,2537,698,450137,1271098,12689,5.05,182.38,27.51,35.47
CMP00119,Campaign_119,Sony,Fashion,INF071,Influencer_8,Macro,YouTube,Gen Z,2025-01-16,834045,672343,787439,7520,105,480,105763,15212,48786,53353,8105,1.21,9.36,14.38,6.02
CMP00120,Campaign_120,Boat,Travel,INF086,Influencer_31,Mega,Facebook,Professionals,2024-01-12,2442331,1625006,3138671,132910,15160,3649,173910,21279,382518,610607,151719,9.34,59.63,12.24,2.52
CMP00121,Campaign_121,Puma,Electronics,INF164,Influencer_51,Mega,YouTube,Adults,2024-07-05,3248844,1862398,2199708,145973,2540,4327,46736,6235,266783,568723,152840,8.21,113.18,13.34,1.75
CMP00122,Campaign_122,Adidas,Beauty,INF155,Influencer_133,Mega,Facebook,Adults,2025-11-19,1876021,380318,616758,7906,1103,784,46063,9903,464077,500672,9793,2.57,7.89,21.5,47.39
CMP00123,Campaign_123,Samsung,Travel,INF206,Influencer_278,Mega,X,Millennials,2024-02-23,2338471,710515,753242,73349,12464,2257,101939,15532,441503,1398999,88070,12.4,216.87,15.24,5.01
CMP00124,Campaign_124,Apple,Fitness,INF155,Influencer_285,Mega,Facebook,Professionals,2025-02-21,1899550,629656,716846,25347,4777,2155,58145,16514,486424,1024161,32279,5.13,110.55,28.4,15.07
CMP00125,Campaign_125,Apple,Travel,INF080,Influencer_263,Mega,Instagram,Adults,2024-09-13,4923748,2420928,3730374,127716,23260,3092,289096,56386,429340,701550,154068,6.36,63.4,19.5,2.79
CMP00126,Campaign_126,Apple,Travel,INF298,Influencer_60,Mega,TikTok,Adults,2024-02-20,3409028,1816862,2018277,64230,10452,5402,2763,58,125887,388940,80084,4.41,208.96,2.1,1.57
CMP00127,Campaign_127,Nykaa,Fitness,INF169,Influencer_146,Macro,Facebook,Gen Z,2025-03-07,760270,340354,557249,24431,4792,813,6185,1254,146978,168703,30036,8.82,14.78,20.27,4.89
CMP00128,Campaign_128,Nykaa,Electronics,INF150,Influencer_269,Mega,Facebook,Gen Z,2025-02-20,4383066,2276668,3151668,45313,2759,1836,98406,8198,214641,427704,49908,2.19,99.26,8.33,4.3
CMP00129,Campaign_129,Zara,Electronics,INF215,Influencer_285,Mega,X,Adults,2024-02-09,2842903,2396734,2441848,79789,4176,3412,198852,59482,132149,313712,87377,3.65,137.39,29.91,1.51
CMP00130,Campaign_130,Boat,Electronics,INF084,Influencer_150,Mega,Facebook,Gen Z,2025-11-18,1373720,423461,825321,46431,5047,865,23204,6285,154194,329863,52343,12.36,113.93,27.09,2.95
CMP00131,Campaign_131,Adidas,Travel,INF282,Influencer_187,Mega,YouTube,Adults,2024-11-21,2185684,1186557,1635769,44183,8001,1838,181398,26113,276297,661178,54022,4.55,139.3,14.4,5.11
